year,city,country,warsaw_avg_temp,year,global_avg_temp
1794,Warsaw,Poland,8.19,1794,8.53
1795,Warsaw,Poland,7.18,1795,8.35
1796,Warsaw,Poland,7.41,1796,8.27
1797,Warsaw,Poland,9.08,1797,8.51
1798,Warsaw,Poland,7.98,1798,8.67
1799,Warsaw,Poland,5.17,1799,8.51
1800,Warsaw,Poland,7.06,1800,8.48
1801,Warsaw,Poland,8.50,1801,8.59
1802,Warsaw,Poland,8.14,1802,8.58
1803,Warsaw,Poland,6.32,1803,8.50
1804,Warsaw,Poland,6.74,1804,8.84
1805,Warsaw,Poland,5.80,1805,8.56
1806,Warsaw,Poland,8.30,1806,8.43
1807,Warsaw,Poland,8.18,1807,8.28
1808,Warsaw,Poland,6.68,1808,7.63
1809,Warsaw,Poland,6.95,1809,7.08
1810,Warsaw,Poland,6.91,1810,6.92
1811,Warsaw,Poland,8.38,1811,6.86
1812,Warsaw,Poland,5.89,1812,7.05
1813,Warsaw,Poland,7.05,1813,7.74
1814,Warsaw,Poland,6.17,1814,7.59
1815,Warsaw,Poland,6.34,1815,7.24
1816,Warsaw,Poland,6.57,1816,6.94
1817,Warsaw,Poland,7.42,1817,6.98
1818,Warsaw,Poland,7.40,1818,7.83
1819,Warsaw,Poland,7.69,1819,7.37
1820,Warsaw,Poland,6.52,1820,7.62
1821,Warsaw,Poland,7.28,1821,8.09
1822,Warsaw,Poland,8.41,1822,8.19
1823,Warsaw,Poland,7.04,1823,7.72
1824,Warsaw,Poland,8.13,1824,8.55
1825,Warsaw,Poland,7.59,1825,8.39
1826,Warsaw,Poland,7.80,1826,8.36
1827,Warsaw,Poland,7.95,1827,8.81
1828,Warsaw,Poland,6.99,1828,8.17
1829,Warsaw,Poland,4.94,1829,7.94
1830,Warsaw,Poland,6.89,1830,8.52
1831,Warsaw,Poland,7.21,1831,7.64
1832,Warsaw,Poland,6.07,1832,7.45
1833,Warsaw,Poland,7.47,1833,8.01
1834,Warsaw,Poland,8.64,1834,8.15
1835,Warsaw,Poland,7.00,1835,7.39
1836,Warsaw,Poland,7.53,1836,7.70
1837,Warsaw,Poland,6.55,1837,7.38
1838,Warsaw,Poland,5.46,1838,7.51
1839,Warsaw,Poland,6.92,1839,7.63
1840,Warsaw,Poland,5.90,1840,7.80
1841,Warsaw,Poland,7.85,1841,7.69
1842,Warsaw,Poland,6.58,1842,8.02
1843,Warsaw,Poland,7.86,1843,8.17
1844,Warsaw,Poland,6.11,1844,7.65
1845,Warsaw,Poland,6.46,1845,7.85
1846,Warsaw,Poland,8.08,1846,8.55
1847,Warsaw,Poland,6.56,1847,8.09
1848,Warsaw,Poland,7.66,1848,7.98
1849,Warsaw,Poland,6.36,1849,7.98
1850,Warsaw,Poland,6.90,1850,7.90
1851,Warsaw,Poland,7.42,1851,8.18
1852,Warsaw,Poland,7.59,1852,8.10
1853,Warsaw,Poland,6.50,1853,8.04
1854,Warsaw,Poland,7.15,1854,8.21
1855,Warsaw,Poland,5.74,1855,8.11
1856,Warsaw,Poland,6.86,1856,8.00
1857,Warsaw,Poland,7.41,1857,7.76
1858,Warsaw,Poland,6.28,1858,8.10
1859,Warsaw,Poland,8.19,1859,8.25
1860,Warsaw,Poland,6.93,1860,7.96
1861,Warsaw,Poland,7.33,1861,7.85
1862,Warsaw,Poland,6.49,1862,7.56
1863,Warsaw,Poland,8.64,1863,8.11
1864,Warsaw,Poland,5.70,1864,7.98
1865,Warsaw,Poland,6.91,1865,8.18
1866,Warsaw,Poland,7.98,1866,8.29
1867,Warsaw,Poland,6.43,1867,8.44
1868,Warsaw,Poland,8.35,1868,8.25
1869,Warsaw,Poland,7.72,1869,8.43
1870,Warsaw,Poland,5.58,1870,8.20
1871,Warsaw,Poland,5.21,1871,8.12
1872,Warsaw,Poland,8.63,1872,8.19
1873,Warsaw,Poland,7.92,1873,8.35
1874,Warsaw,Poland,7.31,1874,8.43
1875,Warsaw,Poland,5.74,1875,7.86
1876,Warsaw,Poland,6.66,1876,8.08
1877,Warsaw,Poland,6.92,1877,8.54
1878,Warsaw,Poland,7.83,1878,8.83
1879,Warsaw,Poland,6.22,1879,8.17
1880,Warsaw,Poland,7.30,1880,8.12
1881,Warsaw,Poland,6.10,1881,8.27
1882,Warsaw,Poland,8.08,1882,8.13
1883,Warsaw,Poland,6.83,1883,7.98
1884,Warsaw,Poland,7.53,1884,7.77
1885,Warsaw,Poland,7.14,1885,7.92
1886,Warsaw,Poland,7.01,1886,7.95
1887,Warsaw,Poland,6.67,1887,7.91
1888,Warsaw,Poland,5.87,1888,8.09
1889,Warsaw,Poland,6.75,1889,8.32
1890,Warsaw,Poland,7.37,1890,7.97
1891,Warsaw,Poland,7.08,1891,8.02
1892,Warsaw,Poland,6.92,1892,8.07
1893,Warsaw,Poland,6.43,1893,8.06
1894,Warsaw,Poland,7.40,1894,8.16
1895,Warsaw,Poland,6.97,1895,8.15
1896,Warsaw,Poland,7.39,1896,8.21
1897,Warsaw,Poland,7.42,1897,8.29
1898,Warsaw,Poland,7.90,1898,8.18
1899,Warsaw,Poland,7.43,1899,8.40
1900,Warsaw,Poland,7.64,1900,8.50
1901,Warsaw,Poland,7.43,1901,8.54
1902,Warsaw,Poland,5.88,1902,8.30
1903,Warsaw,Poland,7.90,1903,8.22
1904,Warsaw,Poland,6.92,1904,8.09
1905,Warsaw,Poland,7.39,1905,8.23
1906,Warsaw,Poland,7.75,1906,8.38
1907,Warsaw,Poland,6.55,1907,7.95
1908,Warsaw,Poland,6.66,1908,8.19
1909,Warsaw,Poland,6.72,1909,8.18
1910,Warsaw,Poland,8.18,1910,8.22
1911,Warsaw,Poland,7.96,1911,8.18
1912,Warsaw,Poland,6.67,1912,8.17
1913,Warsaw,Poland,7.80,1913,8.30
1914,Warsaw,Poland,7.85,1914,8.59
1915,Warsaw,Poland,7.11,1915,8.59
1916,Warsaw,Poland,7.86,1916,8.23
1917,Warsaw,Poland,6.83,1917,8.02
1918,Warsaw,Poland,7.91,1918,8.13
1919,Warsaw,Poland,6.53,1919,8.38
1920,Warsaw,Poland,7.95,1920,8.36
1921,Warsaw,Poland,8.04,1921,8.57
1922,Warsaw,Poland,6.35,1922,8.41
1923,Warsaw,Poland,7.25,1923,8.42
1924,Warsaw,Poland,6.56,1924,8.51
1925,Warsaw,Poland,7.94,1925,8.53
1926,Warsaw,Poland,7.90,1926,8.73
1927,Warsaw,Poland,7.14,1927,8.52
1928,Warsaw,Poland,7.20,1928,8.63
1929,Warsaw,Poland,6.06,1929,8.24
1930,Warsaw,Poland,8.12,1930,8.63
1931,Warsaw,Poland,6.89,1931,8.72
1932,Warsaw,Poland,7.84,1932,8.71
1933,Warsaw,Poland,6.22,1933,8.34
1934,Warsaw,Poland,9.04,1934,8.63
1935,Warsaw,Poland,7.52,1935,8.52
1936,Warsaw,Poland,8.23,1936,8.55
1937,Warsaw,Poland,8.26,1937,8.70
1938,Warsaw,Poland,8.26,1938,8.86
1939,Warsaw,Poland,8.46,1939,8.76
1940,Warsaw,Poland,5.45,1940,8.76
1941,Warsaw,Poland,5.71,1941,8.77
1942,Warsaw,Poland,6.20,1942,8.73
1943,Warsaw,Poland,8.00,1943,8.76
1944,Warsaw,Poland,7.93,1944,8.85
1945,Warsaw,Poland,7.62,1945,8.58
1946,Warsaw,Poland,7.61,1946,8.68
1947,Warsaw,Poland,7.04,1947,8.80
1948,Warsaw,Poland,8.21,1948,8.75
1949,Warsaw,Poland,8.54,1949,8.59
1950,Warsaw,Poland,8.02,1950,8.37
1951,Warsaw,Poland,8.38,1951,8.63
1952,Warsaw,Poland,7.10,1952,8.64
1953,Warsaw,Poland,7.93,1953,8.87
1954,Warsaw,Poland,7.03,1954,8.56
1955,Warsaw,Poland,7.45,1955,8.63
1956,Warsaw,Poland,5.97,1956,8.28
1957,Warsaw,Poland,8.30,1957,8.73
1958,Warsaw,Poland,7.45,1958,8.77
1959,Warsaw,Poland,8.17,1959,8.73
1960,Warsaw,Poland,7.88,1960,8.58
1961,Warsaw,Poland,8.52,1961,8.80
1962,Warsaw,Poland,6.90,1962,8.75
1963,Warsaw,Poland,6.56,1963,8.86
1964,Warsaw,Poland,7.11,1964,8.41
1965,Warsaw,Poland,6.01,1965,8.53
1966,Warsaw,Poland,8.19,1966,8.60
1967,Warsaw,Poland,8.59,1967,8.70
1968,Warsaw,Poland,7.85,1968,8.52
1969,Warsaw,Poland,6.40,1969,8.60
1970,Warsaw,Poland,6.73,1970,8.70
1971,Warsaw,Poland,7.86,1971,8.60
1972,Warsaw,Poland,7.75,1972,8.50
1973,Warsaw,Poland,7.85,1973,8.95
1974,Warsaw,Poland,8.55,1974,8.47
1975,Warsaw,Poland,8.98,1975,8.74
1976,Warsaw,Poland,7.02,1976,8.35
1977,Warsaw,Poland,8.19,1977,8.85
1978,Warsaw,Poland,6.88,1978,8.69
1979,Warsaw,Poland,6.96,1979,8.73
1980,Warsaw,Poland,6.53,1980,8.98
1981,Warsaw,Poland,7.77,1981,9.17
1982,Warsaw,Poland,8.28,1982,8.64
1983,Warsaw,Poland,8.90,1983,9.03
1984,Warsaw,Poland,7.92,1984,8.69
1985,Warsaw,Poland,6.65,1985,8.66
1986,Warsaw,Poland,7.30,1986,8.83
1987,Warsaw,Poland,6.32,1987,8.99
1988,Warsaw,Poland,8.05,1988,9.20
1989,Warsaw,Poland,9.43,1989,8.92
1990,Warsaw,Poland,9.20,1990,9.23
1991,Warsaw,Poland,7.90,1991,9.18
1992,Warsaw,Poland,8.65,1992,8.84
1993,Warsaw,Poland,7.67,1993,8.87
1994,Warsaw,Poland,8.78,1994,9.04
1995,Warsaw,Poland,8.16,1995,9.35
1996,Warsaw,Poland,6.71,1996,9.04
1997,Warsaw,Poland,7.81,1997,9.20
1998,Warsaw,Poland,8.17,1998,9.52
1999,Warsaw,Poland,8.96,1999,9.29
2000,Warsaw,Poland,9.56,2000,9.20
2001,Warsaw,Poland,8.26,2001,9.41
2002,Warsaw,Poland,9.14,2002,9.57
2003,Warsaw,Poland,8.22,2003,9.53
2004,Warsaw,Poland,8.33,2004,9.32
2005,Warsaw,Poland,8.43,2005,9.70
2006,Warsaw,Poland,8.64,2006,9.53
2007,Warsaw,Poland,9.32,2007,9.73
2008,Warsaw,Poland,9.51,2008,9.43
2009,Warsaw,Poland,8.50,2009,9.51
2010,Warsaw,Poland,7.67,2010,9.70
2011,Warsaw,Poland,8.84,2011,9.52
2012,Warsaw,Poland,8.48,2012,9.51
2013,Warsaw,Poland,9.32,2013,9.61
